Table 1
Timestamp,First and Last Name,City,State,Submitted by:,Comments:,,Sheet,Hyperlink,Province,Country,Submitted By:,Submitted by,Comments
YYYY-20-DD 20:20:SS,Meagan Byrne ,Anchorage,Alaska,,"LGBTQ+ friendly, accepts Medicaid",,United States,https://www.alaskaregional.com/physicians/profile/Dr-Megan-Byrne-DO,,,,,
,Tanya Pasternak,Anchorage,Alaska,Patient submitted,,,United States,https://denaliobgyn.com/providers/dr-pasternack/,,,,,
,Ann Broz ,Anchorage,Alaska,,"LGBTQ+ friendly, accepts Medicaid",,United States,https://www.akwomenshealth.com/ann-broze/,,,,,
,Brittany Strickland,Anchorage,Alaska,,"LGBTQ+ friendly, accepts Medicaid",,United States,https://www.akwomenshealth.com/brittany-strickland-2/,,,,,
,Craig Hinkle,Anchorage,Alaska,,"LGBTQ+ friendly, accepts Medicaid",,United States,https://www.akwomenshealth.com/craig-hinkle/,,,,,
,Tania Hall,Anchorage,Alaska,,"LGBTQ+ friendly, accepts Medicaid",,United States,https://www.akwomenshealth.com/tania-hall-2/,,,,,
,Sylvia Moses,Anchorage,Alaska,,"LGBTQ+ friendly, accepts Medicaid",,United States,https://www.akwomenshealth.com/sylvia-moses/,,,,,
,Sherifat Ope-Adenuga,Anchorage,Alaska,,"LGBTQ+ friendly, accepts Medicaid",,United States,https://www.akwomenshealth.com/sherifat-ope-adenuga-2/,,,,,
,Bradford W. Fenton,Anchorage,Alaska,Patient submitted ,LGBTQ+ friendly & a specialist in trans care ,,United States,https://www.ipmsak.com/team/bradford-w-fenton-md-phd/,,,,,
YYYY-19-DD 20:19:SS,Allison van Haastert,Anchorage ,Alaska,,,,United States,https://wcakobgyn.com/providers/physicians/allison-van-haastert-md-facog/,,,,,
YYYY-20-DD 20:20:SS,Jessica Goldberger ,Anchorage ,Alaska,,,,United States,https://wcakobgyn.com/providers/physicians/jessica-goldberger-md/,,,,,
,Jessica Young ,Fairbanks,Alaska,,LGBTQ+ & transgender friendly ,,United States,https://www.interiorwomenshealth.org/provider/jessica-young-md,,,,,
,Kimberly Schumacher ,Fairbanks,Alaska,Patient submitted,,,United States,https://www.chenahealth.com/team/kimberly-schumacher%2C-do,,,,,
,Ellie Hogenson,Fairbanks,Alaska,Patient submitted ,LGBTQ+ & transgender friendly. Proficient in Spanish ,,United States,https://www.chenahealth.com/team/ellie-hogenson%2C-md%2C-mph,,,,,
,Karl B. Baurick,Fairbanks,Alaska,Patient submitted,,,United States,https://www.interiorwomenshealth.org/contents/providers/dr-karl,,,,,
,Kristen Smith,Fairbanks ,Alaska,,Tricare only ,,United States,https://bassett-wainwright.tricare.mil/Health-Services/Womens-Health-Pregnancy/Obstetrics-and-Gynecology,,,,,
,Hannah Robinson,Fairbanks ,Alaska,,Tricare only ,,United States,https://bassett-wainwright.tricare.mil/Health-Services/Womens-Health-Pregnancy/Obstetrics-and-Gynecology,,,,,
,Nicholas D. Newbury,Juneau,Alaska,Patient submitted ,,,United States,https://www.juneauobgyn.com/providers.html,,,,,
,Lori Lindsay,Soldotna,Alaska,Patient submitted,,,United States,https://www.cpgh.org/about-our-physicians,,,,,
,Cassandra Cook,Wasilla,Alaska,Patient submitted ,,,United States,https://www.alpenglowak.com/about,,,,,
,Amanda Beery,Anchorage,Alaska ,Patient submitted ,,,United States,https://www.akwomenshealth.com/amanda-beery/,,,,,
,Todd Hannah ,Bentonville ,Arizona,Patient submitted ,,,United States,https://www.lifespringhealthcare.com/our-providers,,,,,
,Danielle Allen-Herried,Casa Grande & Chandler,Arizona,,,,United States,https://www.sunlifehealth.org/provider/danielle-herried/,,,,,
,Jillian M. Lundie,Casa Grande & Maricopa,Arizona,,,,United States,https://www.sunlifehealth.org/provider/jillian-lundie/,,,,,
,Jordan Neighbors,Chandler,Arizona,,,,United States,https://healow.com/apps/provider/jordan-neighbors-2541306,,,,,
,Kathryn Connors,Chandler,Arizona,,,,United States,https://healow.com/apps/provider/kathryn-connors-1557496,,,,,
,Caitlin Walker,Chandler,Arizona,,,,United States,https://lilacobgyn.com/f/caitlin-walker-md,,,,,
,Denise Grobe ,Chandler & Mesa,Arizona,Patient submitted ,,,United States,https://www.trueharmonywellness.com/bios/denise-grobe-nd,,,,,
,Lindy Vanlandingham,Flagstaff,Arizona,,,,United States,https://northcountryhealthcare.org/providers/lindy-vanlandingham/,,,,,
,David Chisholm,Glendale,Arizona,Patient submitted ,,,United States,https://www.newbeginningsfemininebeauty.com/about,,,,,
,Diana Heard,Glendale,Arizona,Patient submitted,,,United States,https://www.glendaleobgyn.com/meet-our-provider/diana-heard-md,,,,,
YYYY-24-DD 01:24:SS,Jacqueline Belen,Glendale,Arizona,,,,United States,https://www.sonoranmed.com/providers.html,,,,,
,Melissa Austin,Glendale,Arizona,Patient submitted,,,United States,https://www.northvalleywomenscare.com/provider/melissa-gioia-austin-md,,,,,
,Eugene Adel,Mesa,Arizona,Patient submitted,,,United States,https://www.adelantehealthcare.com/providers/eugene-adel-md/,,,,,
,Greg Marchand,Mesa,Arizona,Patient submitted,,,United States,https://gregmarchandmd.com/about-dr-marchand/,,,,,
,Kevin Murphy,Payson,Arizona,,,,United States,https://doctors.bannerhealth.com/provider/Kevin+Murphy%2C+Jr./1664374,,,,,
,Brock C. Jackson,Phoenix,Arizona,Patient submitted ,,,United States,https://www.womenshealthaz.com/providers/brock-c-jackson/,,,,,
,Emily Cyr,Phoenix,Arizona,,,,United States,http://www.phx-obgyn.md/physicians/dr_emily_cyr_md.aspx,,,,,
,Emily Fanning,Phoenix,Arizona,,,,United States,https://desertwestobgyn.com/providers/emily-fanning-md-2,,,,,
,Florian Walter,Phoenix,Arizona,Patient submitted ,,,United States,https://www.womenshealthaz.com/providers/florian-t-walter-do/,,,,,
,Ioana Danci,Phoenix,Arizona,,,,United States,https://www.dignityhealth.org/ourdoctors/1184158313-ioana-danci,,,,,
,Julie Davis-Best,Phoenix,Arizona,Patient submitted ,,,United States,https://www.dignityhealth.org/ourdoctors/1427024272-julie-davis-best,,,,,
,Paul Magtibay,Phoenix,Arizona,Patient submitted,,,United States,https://www.mayoclinic.org/biographies/magtibay-paul-m-m-d/bio-20054585,,,,,
,Sarah Sharer,Phoenix,Arizona,,,,United States,https://www.dignityhealth.org/ourdoctors/1730478280-sarah-sharer,,,,,
,Taylor Jenkins,Phoenix,Arizona,Patient submitted,,,United States,https://www.womenshealthaz.com/providers/taylor-jenkins-md/,,,,,
,Alexandra Bell ,Phoenix,Arizona,,,,United States,https://www.womenshealthaz.com/providers/alexandra-bell-md/,,,,,
,Kaitlyn Oelkers,Phoenix,Arizona,,LGBTQ+ friendly ,,United States,https://genesisobgyn.net/providers/kaitlyn-oelkers-md/,,,,,
,Suhitha Veeravelli,Phoenix,Arizona,,LGBTQ+ friendly ,,United States,https://genesisobgyn.net/providers/suhitha-veeravelli-md/,,,,,
,Aleze Krumholz,Phoenix ,Arizona,,,,United States,https://swcwc.net/providers/aleze-krumholz-md/,,,,,
,Thomas J. Waliser,Phoenix ,Arizona,Patient submitted ,,,United States,https://azgyn.com/team/dr-thomas-j-waliser,,,,,
,Katie Lee,Phoenix ,Arizona,,,,United States,https://adelantehealthcare.com/providers/katie-lee-md/,,,,,
,Heather Zechman,Phoenix ,Arizona,Patient submitted ,,,United States,https://azgyn.com/team/dr-heather-zechman,,,,,
,Mani Tehranchi,"Phoenix, Mesa",Arizona,Patient submitted ,,,United States,https://doctors.bannerhealth.com/provider/Mani+Tehranchi/447777,,,,,
,Carrie Roberts,Scottsdale,Arizona,,LGBTQ+ friendly,,United States,https://drwilsongyn.com/about-us/healthcare-providers/dr-carrie-roberts/,,,,,
,Lindsay Allen,Scottsdale,Arizona,,,,United States,https://drwilsongyn.com/about-us/healthcare-providers/dr-lindsay-allen/,,,,,
YYYY-56-DD 20:56:SS,Elizabeth Schmied,Scottsdale ,Arizona,,,,United States,https://www.womenshealthaz.com/providers/elizabeth-schmied-md-facog/,,,,,
,Erica Montes,Scottsdale ,Arizona,Patient submitted ,,,United States,https://drwilsongyn.com/about-us/healthcare-providers/dr-erica-montes/,,,,,
YYYY-43-DD 20:43:SS,"Elizabeth Harper Juanillo, MD",Surprise,Arizona,,,,United States,https://www.adelantehealthcare.com/providers/elizabeth-harper-juanillo-md/,,,,,
,Tony Canestraro,Tempe,Arizona,,,,United States,https://swcwc.net/dr-tony-canestraro.php,,,,,
,Lucy Cheng,Tempe ,Arizona,Patient submitted,,,United States,https://swcwc.net/providers/lucy-cheng-md/,,,,,
,Andrea Aguirre,Tucson,Arizona,,,,United States,https://doctors.bannerhealth.com/provider/Andrea+Aguirre/764154,,,,,
,Dawn Martin-Herring,Tucson,Arizona,,,,United States,https://doctors.bannerhealth.com/provider/Dawn+Martin-Herring/975504,,,,,
,Holly Bullock,Tucson,Arizona,,,,United States,https://doctors.bannerhealth.com/provider/Holly+Bullock/820421,,,,,
,Jennifer Hutchison,Tucson,Arizona,Patient submitted,,,United States,https://www.chamberofcommerce.com/business-directory/arizona/tucson/gynecologist/702372-sunflower-women-s-health-care-jennifer-hutchison-md,,,,,
