full_name,credentials,city,state_full,state_code,province,country,website_url,submitted_by,comments,source_region
Rozalyn Love,,Sheffield,Alabama,AL,,,https://www.helenkeller.com/clinics-physician-offices/keller-ob-gyn,,,United States
Cecily Collins,,Tuscaloosa,Alabama,AL,,,https://www.dchsystem.com/find-a-doctor/cecily-annis-collins-md/,,,United States
Karl Harbin,,Tuscaloosa,Alabama,AL,,,https://www.partlowharbinandpoist.com/patient-center,Patient submitted,,United States
Sachin Shenoy,,Tuscaloosa,Alabama,AL,,,https://umc.ua.edu/person/?id=34262,Patient submitted,,United States
Meagan Byrne,,Anchorage,Alaska,AK,,,https://www.alaskaregional.com/physicians/profile/Dr-Megan-Byrne-DO,,"LGBTQ+ friendly, accepts Medicaid",United States
Tanya Pasternak,,Anchorage,Alaska,AK,,,https://denaliobgyn.com/providers/dr-pasternack/,Patient submitted,,United States
Ann Broz,,Anchorage,Alaska,AK,,,https://www.akwomenshealth.com/ann-broze/,,"LGBTQ+ friendly, accepts Medicaid",United States
Brittany Strickland,,Anchorage,Alaska,AK,,,https://www.akwomenshealth.com/brittany-strickland-2/,,"LGBTQ+ friendly, accepts Medicaid",United States
Craig Hinkle,,Anchorage,Alaska,AK,,,https://www.akwomenshealth.com/craig-hinkle/,,"LGBTQ+ friendly, accepts Medicaid",United States
Tania Hall,,Anchorage,Alaska,AK,,,https://www.akwomenshealth.com/tania-hall-2/,,"LGBTQ+ friendly, accepts Medicaid",United States
Sylvia Moses,,Anchorage,Alaska,AK,,,https://www.akwomenshealth.com/sylvia-moses/,,"LGBTQ+ friendly, accepts Medicaid",United States
Sherifat Ope-adenuga,,Anchorage,Alaska,AK,,,https://www.akwomenshealth.com/sherifat-ope-adenuga-2/,,"LGBTQ+ friendly, accepts Medicaid",United States
Bradford W. Fenton,,Anchorage,Alaska,AK,,,https://www.ipmsak.com/team/bradford-w-fenton-md-phd/,Patient submitted ,LGBTQ+ friendly & a specialist in trans care ,United States
Allison Van Haastert,,Anchorage,Alaska,AK,,,https://wcakobgyn.com/providers/physicians/allison-van-haastert-md-facog/,,,United States
Jessica Goldberger,,Anchorage,Alaska,AK,,,https://wcakobgyn.com/providers/physicians/jessica-goldberger-md/,,,United States
Jessica Young,,Fairbanks,Alaska,AK,,,https://www.interiorwomenshealth.org/provider/jessica-young-md,,LGBTQ+ & transgender friendly ,United States
Kimberly Schumacher,,Fairbanks,Alaska,AK,,,https://www.chenahealth.com/team/kimberly-schumacher%2C-do,Patient submitted,,United States
Ellie Hogenson,,Fairbanks,Alaska,AK,,,https://www.chenahealth.com/team/ellie-hogenson%2C-md%2C-mph,Patient submitted ,LGBTQ+ & transgender friendly. Proficient in Spanish ,United States
Karl B. Baurick,,Fairbanks,Alaska,AK,,,https://www.interiorwomenshealth.org/contents/providers/dr-karl,Patient submitted,,United States
Kristen Smith,,Fairbanks,Alaska,AK,,,https://bassett-wainwright.tricare.mil/Health-Services/Womens-Health-Pregnancy/Obstetrics-and-Gynecology,,Tricare only ,United States
Hannah Robinson,,Fairbanks,Alaska,AK,,,https://bassett-wainwright.tricare.mil/Health-Services/Womens-Health-Pregnancy/Obstetrics-and-Gynecology,,Tricare only ,United States
Nicholas D. Newbury,,Juneau,Alaska,AK,,,https://www.juneauobgyn.com/providers.html,Patient submitted ,,United States
Lori Lindsay,,Soldotna,Alaska,AK,,,https://www.cpgh.org/about-our-physicians,Patient submitted,,United States
Cassana Cook,,Wasilla,Alaska,AK,,,https://www.alpenglowak.com/about,Patient submitted ,,United States
Amanda Beery,,Anchorage,Alaska,AK,,,https://www.akwomenshealth.com/amanda-beery/,Patient submitted ,,United States
Todd Hannah,,Bentonville,Arizona,AZ,,,https://www.lifespringhealthcare.com/our-providers,Patient submitted ,,United States
Danielle Allen-herried,,Casa Grande & Chandler,Arizona,AZ,,,https://www.sunlifehealth.org/provider/danielle-herried/,,,United States
Jillian M. Lundie,,Casa Grande & Maricopa,Arizona,AZ,,,https://www.sunlifehealth.org/provider/jillian-lundie/,,,United States
Jordan Neighbors,,Chandler,Arizona,AZ,,,https://healow.com/apps/provider/jordan-neighbors-2541306,,,United States
Kathryn Connors,,Chandler,Arizona,AZ,,,https://healow.com/apps/provider/kathryn-connors-1557496,,,United States
Caitlin Walker,,Chandler,Arizona,AZ,,,https://lilacobgyn.com/f/caitlin-walker-md,,,United States
Denise Grobe,,Chandler & Mesa,Arizona,AZ,,,https://www.trueharmonywellness.com/bios/denise-grobe-nd,Patient submitted ,,United States
Lindy Vanlandingham,,Flagstaff,Arizona,AZ,,,https://northcountryhealthcare.org/providers/lindy-vanlandingham/,,,United States
David Chisholm,,Glendale,Arizona,AZ,,,https://www.newbeginningsfemininebeauty.com/about,Patient submitted ,,United States
Diana Heard,,Glendale,Arizona,AZ,,,https://www.glendaleobgyn.com/meet-our-provider/diana-heard-md,Patient submitted,,United States
Jacqueline Belen,,Glendale,Arizona,AZ,,,https://www.sonoranmed.com/providers.html,,,United States
Melissa Austin,,Glendale,Arizona,AZ,,,https://www.northvalleywomenscare.com/provider/melissa-gioia-austin-md,Patient submitted,,United States
Eugene Adel,,Mesa,Arizona,AZ,,,https://www.adelantehealthcare.com/providers/eugene-adel-md/,Patient submitted,,United States
Greg Marchand,,Mesa,Arizona,AZ,,,https://gregmarchandmd.com/about-dr-marchand/,Patient submitted,,United States
Kevin Murphy,,Payson,Arizona,AZ,,,https://doctors.bannerhealth.com/provider/Kevin+Murphy%2C+Jr./1664374,,,United States
Brock C. Jackson,,Phoenix,Arizona,AZ,,,https://www.womenshealthaz.com/providers/brock-c-jackson/,Patient submitted ,,United States
Emily Cyr,,Phoenix,Arizona,AZ,,,http://www.phx-obgyn.md/physicians/dr_emily_cyr_md.aspx,,,United States
Emily Fanning,,Phoenix,Arizona,AZ,,,https://desertwestobgyn.com/providers/emily-fanning-md-2,,,United States
Florian Walter,,Phoenix,Arizona,AZ,,,https://www.womenshealthaz.com/providers/florian-t-walter-do/,Patient submitted ,,United States
Ioana Danci,,Phoenix,Arizona,AZ,,,https://www.dignityhealth.org/ourdoctors/1184158313-ioana-danci,,,United States
Julie Davis-best,,Phoenix,Arizona,AZ,,,https://www.dignityhealth.org/ourdoctors/1427024272-julie-davis-best,Patient submitted ,,United States
Paul Magtibay,,Phoenix,Arizona,AZ,,,https://www.mayoclinic.org/biographies/magtibay-paul-m-m-d/bio-20054585,Patient submitted,,United States
Sarah Sharer,,Phoenix,Arizona,AZ,,,https://www.dignityhealth.org/ourdoctors/1730478280-sarah-sharer,,,United States
Taylor Jenkins,,Phoenix,Arizona,AZ,,,https://www.womenshealthaz.com/providers/taylor-jenkins-md/,Patient submitted,,United States
Alexana Bell,,Phoenix,Arizona,AZ,,,https://www.womenshealthaz.com/providers/alexandra-bell-md/,,,United States
Kaitlyn Oelkers,,Phoenix,Arizona,AZ,,,https://genesisobgyn.net/providers/kaitlyn-oelkers-md/,,LGBTQ+ friendly ,United States
Suhitha Veeravelli,,Phoenix,Arizona,AZ,,,https://genesisobgyn.net/providers/suhitha-veeravelli-md/,,LGBTQ+ friendly ,United States
Aleze Krumholz,,Phoenix,Arizona,AZ,,,https://swcwc.net/providers/aleze-krumholz-md/,,,United States
Thomas J. Waliser,,Phoenix,Arizona,AZ,,,https://azgyn.com/team/dr-thomas-j-waliser,Patient submitted ,,United States
Katie Lee,,Phoenix,Arizona,AZ,,,https://adelantehealthcare.com/providers/katie-lee-md/,,,United States
Heather Zechman,,Phoenix,Arizona,AZ,,,https://azgyn.com/team/dr-heather-zechman,Patient submitted ,,United States
Mani Tehranchi,,"Phoenix, Mesa",Arizona,AZ,,,https://doctors.bannerhealth.com/provider/Mani+Tehranchi/447777,Patient submitted ,,United States
Carrie Roberts,,Scottsdale,Arizona,AZ,,,https://drwilsongyn.com/about-us/healthcare-providers/dr-carrie-roberts/,,LGBTQ+ friendly,United States
Lindsay Allen,,Scottsdale,Arizona,AZ,,,https://drwilsongyn.com/about-us/healthcare-providers/dr-lindsay-allen/,,,United States
Elizabeth Schmied,,Scottsdale,Arizona,AZ,,,https://www.womenshealthaz.com/providers/elizabeth-schmied-md-facog/,,,United States
Erica Montes,,Scottsdale,Arizona,AZ,,,https://drwilsongyn.com/about-us/healthcare-providers/dr-erica-montes/,Patient submitted ,,United States
Elizabeth Harper Juanillo,MD,Surprise,Arizona,AZ,,,https://www.adelantehealthcare.com/providers/elizabeth-harper-juanillo-md/,,,United States
Tony Canestraro,,Tempe,Arizona,AZ,,,https://swcwc.net/dr-tony-canestraro.php,,,United States
Lucy Cheng,,Tempe,Arizona,AZ,,,https://swcwc.net/providers/lucy-cheng-md/,Patient submitted,,United States
Anea Aguirre,,Tucson,Arizona,AZ,,,https://doctors.bannerhealth.com/provider/Andrea+Aguirre/764154,,,United States
Dawn Martin-herring,,Tucson,Arizona,AZ,,,https://doctors.bannerhealth.com/provider/Dawn+Martin-Herring/975504,,,United States
Holly Bullock,,Tucson,Arizona,AZ,,,https://doctors.bannerhealth.com/provider/Holly+Bullock/820421,,,United States
Jennifer Hutchison,,Tucson,Arizona,AZ,,,https://www.chamberofcommerce.com/business-directory/arizona/tucson/gynecologist/702372-sunflower-women-s-health-care-jennifer-hutchison-md,Patient submitted,,United States
Jennifer L. Reinhart,,Tucson,Arizona,AZ,,,https://www.castleconnolly.com/top-doctors/jennifer-l-reinhart-obstetrics-gynecology-128cc169254,Patient submitted,,United States
Jessica Serrano-roiguez,,Tucson,Arizona,AZ,,,https://www.nwalliedphysicians.com/doctors-providers/serranorodriguez-jessica-md-8337,Patient submitted ,,United States
Lilia Sen,,Tucson,Arizona,AZ,,,https://www.genesisobgyn.net/copy-of-rebecca-hamilton,Patient submitted ,,United States
Rachael Darche,,Tucson,Arizona,AZ,,,https://doctors.bannerhealth.com/provider/Rachel+Darche/453412,,,United States
Rachel Walker,,Tucson,Arizona,AZ,,,https://www.genesisobgyn.net/rachel-walker-md,,,United States
Raquel Mercado-sepulveda,,Tucson,Arizona,AZ,,,https://mercado-sepulveda-raquel-m-md.business.site/?utm_source=gmb&utm_medium=referral,Patient submitted,,United States
Stephanie Chin,,Tucson,Arizona,AZ,,,https://www.genesisobgyn.net/stephanie-chin-md,Patient submitted,,United States
Tiffany Woods-karsten,,Tucson,Arizona,AZ,,,,Patient submitted,,United States
Tori Fewell,,Tucson,Arizona,AZ,,,https://www.genesisobgyn.net/victoria-fewell-md,,,United States
Shruti Bala,,Tucson,Arizona,AZ,,,https://www.tmcaz.com/provider/shruti-bala-md-obstetrics-and-gynecology,Patient submitted ,,United States
Paul D. Young,,Tucson,Arizona,AZ,,,https://www.tmcaz.com/provider/paul-douglas-young-md,Patient submitted,,United States
Erin Sperry Schlueter,,Tucson,Arizona,AZ,,,https://genesisobgyn.net/providers/erin-sperry-schlueter-md/,Patient submitted,,United States
Michelle L. Abbate,,Tucson,Arizona,AZ,,,https://doctors.bannerhealth.com/provider/michelle-abbate/2298007,,,United States
Melissa Bradley,,Tucson,Arizona,AZ,,,https://genesisobgyn.net/providers/melissa-bradley-do/,Patient submitted,,United States
Randall Reid,,Winslow,Arizona,AZ,,,https://www.lcmcwmh.com/Staff,Patient submitted ,,United States
John B. Amon,,Yuma,Arizona,AZ,,,https://www.onvidahealth.org/provider/john-brock-amon-m-d/,Patient submitted,,United States
Terry Huff,,Mesa,Arizona,AZ,,,https://doctors.bannerhealth.com/provider/Terry+Huff/450629,Patient submitted,,United States
Samantha Medina,,Phoenix,Arizona,AZ,,,https://desertwestobgyn.com/providers/samantha-medina-do,,,United States
Burt Webb,,Scottsdale,Arizona,AZ,,,https://www.vitalitymds.com/provider/burt-webb-md-facog,Patient submitted,,United States
Christina Green,,Benton,Arkansas,AR,,,https://www.salinememorial.org/provider/1770841314/christina-green,,,United States
James Robb,,Benton,Arkansas,AR,,,https://www.salineclinics.org/our-physicians/robb,,,United States
Ralynn Brann,,Benton,Arkansas,AR,,,https://www.salineclinics.org/find-a-doctor/provider/1932661964',,,United States
Lisa Bearden,,Bentonville,Arkansas,AR,,,https://www.northwesthealth.com/find-a-doctor/bearden-lisa-md-9509,Patient submitted ,,United States
Brittanie Hagen,,Conway,Arkansas,AR,,,https://www.baptist-health.com/doctor/brittanie-hagen-md/,,,United States
Courtney Sick,,Conway,Arkansas,AR,,,https://www.rwcobgyn.com/dr-courtney-sick/,Patient submitted ,,United States
Loren Nolen,,Conway,Arkansas,AR,,,https://www.conwayobgyn.com/dr-lauren-nolen/,Patient submitted ,,United States
Kala Slaton,,Conway,Arkansas,AR,,,https://www.conwayregional.org/find-a-provider/kala-slaton?y_source=1_MTg0NDA0ODYtNDgzLWxvY2F0aW9uLndlYnNpdGU%3D,Patient submitted,,United States
Candy Birch,,Fayetteville,Arkansas,AR,,,https://www.wregional.com/main/physician-locator/birch-candy-33,,,United States
Erin Large,,Fayetteville,Arkansas,AR,,,https://www.wregional.com/main/physician-locator/large-erin-286,,,United States
Lindsey Seale,,Fayetteville,Arkansas,AR,,,https://parkhillclinic.com/dr-lindsey-seale/,Patient submitted,,United States
Scott Bailey,,Fayetteville,Arkansas,AR,,,https://parkhillclinic.com/dr-scott-bailey/,,,United States
Alexis Mccollum,,Fayetteville,Arkansas,AR,,,https://www.wregional.com/main/physician-locator/mccollum-alexis-1342,,,United States
Britte Smith,,Fayetteville,Arkansas,AR,,,https://www.wregional.com/main/physician-locator/smith-britte-25,Patient submitted,,United States
"Julian ""tony"" Terry",,Fayetteville,Arkansas,AR,,,https://parkhillclinic.com/dr-julian-terry/,,"LGBTQ+ friendly, accepts Medicaid ",United States
Michael W. Colgrove,,Fort Smith,Arkansas,AR,,,https://www.baptist-health.com/find-care/provider/1548474240,Patient submitted,LGBTQ+ friendly ,United States
Alexis White,,Little Rock,Arkansas,AR,,,https://uamshealth.com/provider/alexis-c-white/,,,United States
Amy Phillips,,Little Rock,Arkansas,AR,,,https://uamshealth.com/provider/amy-m-phillips/,,,United States
Ananth Ranganathan,,Little Rock,Arkansas,AR,,,https://www.arwomenscenter.com/dr-ananth-ranganathan,,,United States
Chad B. Taylor,,Little Rock,Arkansas,AR,,,https://uamshealth.com/provider/chad-b-taylor/,,,United States
Dora Smith,,Little Rock,Arkansas,AR,,,https://uamshealth.com/provider/dora-mah-smith/,,,United States
Emily Williams,,Little Rock,Arkansas,AR,,,https://www.arwomenscenter.com/dr-emily-williams,,,United States
Heather Owens,,Little Rock,Arkansas,AR,,,https://www.centralclinicforwomen.com/dr-heather-owens,,,United States
Jenny Gregory,,Little Rock,Arkansas,AR,,,https://www.arwomenscenter.com/dr-jenny-gregory,,,United States
Kenneth Singleton,,Little Rock,Arkansas,AR,,,https://www.cornerstoneclinicforwomen.com/dr-kenneth-singleton,Patient submitted,,United States
Kim Reynolds,,Little Rock,Arkansas,AR,,,https://www.wlrwomens.com/our-team,,,United States
Lindsay Osleber,,Little Rock,Arkansas,AR,,,https://www.arwomenscenter.com/dr-lindsay-osleber,Patient submitted ,,United States
